Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
Public Method,"JPlay.Body.acelerateToUp",,,2,1,1,,,,,4,0,,
Public Method,"JPlay.Body.decelerateX",,,3,1,2,,,,,18,0,,
Public Method,"JPlay.Body.decelerateY",,,3,1,2,,,,,18,0,,
Public Method,"JPlay.Body.getAcceleration",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.getDeceleration",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.getMaxVelocityX",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.getMaxVelocityY",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.moveX",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.moveX",,,6,1,2,,,,,37,0,,
Public Method,"JPlay.Body.moveY",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.moveY",,,8,1,2,,,,,37,0,,
Public Method,"JPlay.Body.setAcceleration",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.setDeceleration",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.setMaxVelocityX",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.setMaxVelocityY",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.walkX",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Body.walkY",,,1,1,0,,,,,4,0,,
Public Class,"JPlay.Collision",0,2,4,,1,1,0,1,2,19,4,2,
Public Static Method,"JPlay.Collision.collided",,,1,1,0,,,,,8,0,,
Public Static Method,"JPlay.Collision.collided",,,3,3,1,,,,,8,0,,
Public Class,"JPlay.GameImage",33,1,3,,0,2,1,1,1,19,0,3,
Public Constructor,"JPlay.GameImage.GameImage",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.GameImage.draw",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.GameImage.loadImage",,,1,1,0,,,,,7,0,,
Public Class,"JPlay.GameObject",43,1,9,,0,1,1,1,1,52,0,8,
Public Constructor,"JPlay.GameObject.GameObject",,,1,1,0,,,,,7,0,,
Public Method,"JPlay.GameObject.getDimension",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.GameObject.getPosition",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.GameObject.setDimension",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.GameObject.setDimension",,,1,1,0,,,,,5,0,,
